change_type,worksheet,cell,historical_formula,active_formula
CHANGED,Cap_Allow,FN54,=FN52/Prod_Summary!$AA$48,=FN52/Prod_Summary!$Y$50
CHANGED,Cap_Allow,FO54,=FO52/Prod_Summary!$AA$48,=FO52/Prod_Summary!$Y$50
CHANGED,Cap_Allow,FP54,=FP52/Prod_Summary!$AA$48,=FP52/Prod_Summary!$Y$50
CHANGED,Cap_Allow,FQ54,=FQ52/Prod_Summary!$AA$48,=FQ52/Prod_Summary!$Y$50
CHANGED,Ec_IO,G14,='Project_NCF_Con (2)'!AB51+'Project_NCF_Con (2)'!AC51+'Project_NCF_Con (2)'!AD51,=Project_NCF!AB51+Project_NCF!AC51+Project_NCF!AD51
CHANGED,Ec_IO,G6,='Project_NCF_Con (2)'!AJ51,=Project_NCF!AJ51
CHANGED,Ec_IO,N19,=N16/Prod_Summary!$AA$48,=N16/Prod_Summary!$Y$50
CHANGED,Ec_IO,N20,=N17/Prod_Summary!$AA$48,=N17/Prod_Summary!$Y$50
CHANGED,Ec_IO,N21,=N18/Prod_Summary!$AA$48,=N18/Prod_Summary!$Y$50
CHANGED,Ec_IO,P22,='Project_NCF_Con (2)'!AD51,=Project_NCF!AD51
CHANGED,Ec_IO,P23,='Project_NCF_Con (2)'!AB51,=Project_NCF!AB51
CHANGED,Ec_IO,P24,='Project_NCF_Con (2)'!AC51,=Project_NCF!AC51
CHANGED,Ec_IO,S12,='Project_NCF_Con (2)'!AE51/('Project_NCF_Con (2)'!AE51+'Project_NCF_Con (2)'!AF51),=Project_NCF!AE51/(Project_NCF!AE51+Project_NCF!AF51)
CHANGED,Ec_IO,S19,=S16/Prod_Summary!$AA$48,=S16/Prod_Summary!$Y$50
CHANGED,Ec_IO,S20,=S17/Prod_Summary!$AA$48,=S17/Prod_Summary!$Y$50
CHANGED,Ec_IO,S21,=S18/Prod_Summary!$AA$48,=S18/Prod_Summary!$Y$50
CHANGED,Ec_IO,S7,='Project_NCF_Con (2)'!AG51,=Project_NCF!AG51
CHANGED,Ec_IO,T14,='Project_NCF_Con (2)'!AJ51,=Project_NCF!AJ51
CHANGED,Ec_IO,T23,=Prod_Summary!Y48,=Prod_Summary!Y49
CHANGED,Ec_IO,T7,='Project_NCF_Con (2)'!AH51,=Project_NCF!AH51
CHANGED,Ec_IO,T8,='Project_NCF_Con (2)'!AG58,=Project_NCF!AG58
CHANGED,Equity_NCF_Con,W10,='Project_NCF_Con (2)'!W10*'Equity Dash'!$C$4,=Project_NCF!W10*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W11,='Project_NCF_Con (2)'!W11*'Equity Dash'!$C$4,=Project_NCF!W11*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W12,='Project_NCF_Con (2)'!W12*'Equity Dash'!$C$4,=Project_NCF!W12*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W13,='Project_NCF_Con (2)'!W13*'Equity Dash'!$C$4,=Project_NCF!W13*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W14,='Project_NCF_Con (2)'!W14*'Equity Dash'!$C$4,=Project_NCF!W14*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W15,='Project_NCF_Con (2)'!W15*'Equity Dash'!$C$4,=Project_NCF!W15*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W16,='Project_NCF_Con (2)'!W16*'Equity Dash'!$C$4,=Project_NCF!W16*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W17,='Project_NCF_Con (2)'!W17*'Equity Dash'!$C$4,=Project_NCF!W17*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W18,='Project_NCF_Con (2)'!W18*'Equity Dash'!$C$4,=Project_NCF!W18*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W19,='Project_NCF_Con (2)'!W19*'Equity Dash'!$C$4,=Project_NCF!W19*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W20,='Project_NCF_Con (2)'!W20*'Equity Dash'!$C$4,=Project_NCF!W20*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W21,='Project_NCF_Con (2)'!W21*'Equity Dash'!$C$4,=Project_NCF!W21*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W22,='Project_NCF_Con (2)'!W22*'Equity Dash'!$C$4,=Project_NCF!W22*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W23,='Project_NCF_Con (2)'!W23*'Equity Dash'!$C$4,=Project_NCF!W23*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W24,='Project_NCF_Con (2)'!W24*'Equity Dash'!$C$4,=Project_NCF!W24*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W25,='Project_NCF_Con (2)'!W25*'Equity Dash'!$C$4,=Project_NCF!W25*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W26,='Project_NCF_Con (2)'!W26*'Equity Dash'!$C$4,=Project_NCF!W26*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W27,='Project_NCF_Con (2)'!W27*'Equity Dash'!$C$4,=Project_NCF!W27*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W28,='Project_NCF_Con (2)'!W28*'Equity Dash'!$C$4,=Project_NCF!W28*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W29,='Project_NCF_Con (2)'!W29*'Equity Dash'!$C$4,=Project_NCF!W29*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W30,='Project_NCF_Con (2)'!W30*'Equity Dash'!$C$4,=Project_NCF!W30*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W31,='Project_NCF_Con (2)'!W31*'Equity Dash'!$C$4,=Project_NCF!W31*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W32,='Project_NCF_Con (2)'!W32*'Equity Dash'!$C$4,=Project_NCF!W32*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W33,='Project_NCF_Con (2)'!W33*'Equity Dash'!$C$4,=Project_NCF!W33*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W34,='Project_NCF_Con (2)'!W34*'Equity Dash'!$C$4,=Project_NCF!W34*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W35,='Project_NCF_Con (2)'!W35*'Equity Dash'!$C$4,=Project_NCF!W35*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W36,='Project_NCF_Con (2)'!W36*'Equity Dash'!$C$4,=Project_NCF!W36*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W37,='Project_NCF_Con (2)'!W37*'Equity Dash'!$C$4,=Project_NCF!W37*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W38,='Project_NCF_Con (2)'!W38*'Equity Dash'!$C$4,=Project_NCF!W38*'Equity Dash'!$C$4
CHANGED,Equity_NCF_Con,W39,='Project_NCF_Con (2)'!W39*'Equity Dash'!$C$4,=Project_NCF!W39*'Equity Dash'!$C$4
